00-91	AMASync1	AMANDA_SYNC_DOM	1e5b72775d19
47-23	UP6Y4398	Kadesch	ed17776c9aa8
47-24	TP6Y4407	Pemba	43a20bfe10d6
47-25	UP6H7522	Celsiusgatan	400e34e99096
47-26	TP6Y4321	Nchienge	6aa68f2742c8
47-27	UP6Y4256	Orunmila	ff506aa3bcad
47-28	TP6Y4451	Pangu	f5c93c392bfa
47-29	UP6Y4254	Gla	34c550e31179
47-30	TP6Y4245	Ahmakiq	99afdb2e63c4
47-31	UP6Y4448	Li_Tiekuai	5140bda6e07b
47-32	TP6Y4319	Moya	306628d644b8
47-33	UP6Y4402	Cheper	07f0bd878087
47-34	TP6Y4423	Mehit	968e3b99565a
47-35	UP6Y4258	Ichneumon	42b50d53383d
47-36	TP6Y4415	Hatmehit	99a79e89f5be
47-37	UP5H0230	Storlom	c9a4489be95b
47-38	TP6Y4391	Tali	b69a89ee9dbb
47-39	UP5H0234	Tallbit	68f5ea31b594
47-40	TP5H0133	Bondkobben	bafa0e62dd75
47-41	UP6Y4234	Engai	6c7b9e1c7fc8
47-42	TP6Y4307	Huracan	f8b4aa5ade15
47-43	UP5H0132	Skata	5fd665cb810d
47-44	TP5H0127	Kungsfiskare	369f97ef76de
47-45	UP5H0150	Knipa	01df6c1da645
47-46	TP6Y4361	Tepoztecatl	a9dea0b5edfa
47-47	UP6Y4252	Kihanga	bab97581c1cc
47-48	TP5H0207	Svarthakedopping	3e49f5fd8fbf
47-49	UP6Y4292	Asat	1eb4f2e88f64
47-50	TP6Y4325	Duat	42e961683903
47-51	UP6Y4382	Hapi	045707a043f3
47-52	TP5H0249	Ulriksdal	3321e5d5abbe
47-53	UP6P1416	Craits	1a7d95b61ecb
47-54	TP5H0121	Kassgrundet	043ed2c31e5c
47-55	UP6P1412	Kemps_Card	014614881c4a
47-56	TP5H0203	Ensta	1d28b6000d69
